game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts
40,7,17,0.05420902743935585,player-1,23,25,14,17
41,1,19,0.06125005893409252,player-4,0,2,4,2
41,2,17,0.05950010381639004,player-3,0,6,7,2
41,3,22,0.0696659553796053,player-1,7,9,12,7
41,4,28,0.07575005292892456,none,11,10,14,7
41,5,17,0.047040870413184166,player-2,12,14,14,7
41,6,17,0.047582900151610374,player-3,15,16,22,9
41,7,23,0.06474996916949749,player-2,20,22,26,10
42,1,17,0.04720780998468399,player-4,1,0,2,4
42,2,17,0.05625002086162567,player-1,8,4,5,9
42,3,17,0.0775421503931284,player-2,14,15,6,13
42,4,17,0.046625034883618355,player-3,20,16,12,15
42,5,18,0.06816606037318707,player-1,23,20,19,20
43,1,17,0.05483301356434822,player-2,2,7,1,10
43,2,19,0.062374863773584366,player-1,9,9,8,16
43,3,17,0.07595913484692574,player-4,9,9,8,23
43,4,29,0.08420785889029503,player-1,11,9,11,28
43,5,23,0.08758297190070152,player-4,16,11,17,36
44,1,20,0.06387499161064625,player-4,1,0,3,2
44,2,17,0.07462501525878906,player-2,3,6,6,12
44,3,17,0.04775007255375385,player-3,3,8,13,12
44,4,17,0.042125117033720016,player-4,3,13,18,16
44,5,17,0.05016685463488102,player-1,6,16,18,23
44,6,18,0.05283416248857975,player-3,8,20,24,32
45,1,17,0.06120908074080944,player-3,2,2,7,0
45,2,17,0.04120822995901108,player-4,2,4,8,4
45,3,18,0.059499870985746384,player-2,8,10,8,9
45,4,17,0.0475000124424696,player-2,8,13,10,15
45,5,17,0.047457870095968246,player-3,8,13,16,17
45,6,18,0.054584117606282234,player-1,11,14,23,22
45,7,19,0.05625002086162567,player-3,14,14,29,24
46,1,25,0.07870793342590332,player-1,4,1,8,3
46,2,24,0.07650000043213367,player-1,17,2,10,18
46,3,17,0.053541967645287514,player-3,24,10,21,18
47,1,21,0.06316718645393848,player-3,2,1,4,2
47,2,18,0.05962490104138851,player-1,6,5,7,6
47,3,18,0.05716690793633461,player-2,9,6,15,12
47,4,19,0.053541967645287514,player-4,16,8,16,20
47,5,18,0.055582961067557335,player-4,23,13,20,32
48,1,23,0.06429105997085571,player-4,1,4,2,5
48,2,22,0.06087496876716614,none,2,4,3,9
48,3,18,0.2025000285357237,player-1,8,9,11,15
48,4,18,0.0627501867711544,player-2,15,14,18,16
48,5,17,0.050459057092666626,player-2,19,20,21,17
49,1,18,0.05270796827971935,player-3,5,3,5,4
49,2,17,0.04587485454976559,player-3,6,3,6,4
49,3,17,0.0402920413762331,player-4,9,5,9,13
49,4,22,0.06679189391434193,player-2,11,10,10,15
49,5,17,0.03841705620288849,player-2,15,17,12,15
49,6,17,0.041999854147434235,player-3,23,18,16,19
49,7,20,0.06187520921230316,player-3,26,23,30,23
50,1,18,0.050958944484591484,player-1,7,2,0,0
50,2,17,0.06541702896356583,player-1,10,8,0,0
50,3,18,0.04920782521367073,player-3,11,9,2,0
50,4,18,0.051208073273301125,player-4,11,9,3,4
50,5,17,0.04395795986056328,player-4,13,9,6,8
50,6,20,0.06229104474186897,player-4,14,15,6,25
